symptom_description,disease_label
"My scalp feels tender and my head aches dully, mostly toward the end of a long, stressful day staring at my computer screen. I am hoping to find some relief soon.",Tension Headache
"I am passing very small amounts of urine frequently, and there is a distinct pinkish hue to it which really worries me.",UTI
"I have fluid filled blisters on one side of my face, accompanied by a mild fever and a deep, burning ache. The symptoms are really impacting my daily routine.",Shingles
"To be honest, i have raised, angry red patches of skin wholly covered in silvery scales on my elbows that itch relentlessly.",Psoriasis
"I am noticing that a tremendously painful, blistering rash has erupted in a band wrapping around the left side of my torso, and the skin feels like it is on fire. I am hoping to find some relief soon.",Shingles
"My scalp is intensely flaky with thick, crusty plaques that bleed slightly if I accidentally scratch them too hard. It has been consistently bothering me for several days.",Psoriasis
"I must say, i started seeing weird zigzag lines in my vision, and shortly after, a severe, nauseating headache wholly incapacitated me.",Migraine
"Recently, i feel incredibly sick to my stomach, my bowels are wholly liquid, and i am running a mild fever. I do not know what to do about it anymore.",Gastroenteritis
"Lately, i feel incredibly sick to my stomach, my bowels are totally liquid, and i am running a mild fever. The symptoms are really impacting my daily routine.",Gastroenteritis
"Recently, i feel a profound, heavy emptiness inside, and i simply cannot find joy in any of the hobbies i used to love. I do not know what to do about it anymore.",Depression
"To be honest, i am suffering from a sharp, relentless pain in my lower back that wraps around my side and shoots down into my groin.",Kidney Stones
"I am dealing with pitted, discolored fingernails and dry, scaly patches of skin on my lower back that will not heal. I am hoping to find some relief soon.",Psoriasis
"My head feels like it is stuffed with cotton, I have a low grade fever, and thick mucus is constantly draining down the back of my throat. It is becoming quite difficult to manage.",Sinusitis
"My scalp feels tender and my head aches dully, mostly toward the end of a long, stressful day staring at my computer screen. I have never experienced anything exactly like this before.",Tension Headache
"Lately, my chest feels extraordinarily heavy, i am gasping for air, and my lower jaw is aching with a strange intensity. I am starting to get very concerned about it.",Heart Attack
"I am noticing that my bowel habits are entirely unpredictable, drastically swinging between severe constipation and sudden, urgent diarrhea. I am starting to get very concerned about it.",IBS
"I have a terrible sore throat, my voice is totally muffled, and I have awful bad breath that I simply cannot brush away. I have never experienced anything exactly like this before.",Tonsillitis
"My nose is severely congested and I feel incredibly run down, although my breathing remains perfectly normal so far. It is becoming quite difficult to manage.",COVID-19
"I feel deeply, chronically fatigued all the time, and I am gaining weight rapidly despite changing absolutely nothing about my diet. I do not know what to do about it anymore.",Hypothyroidism
"Lately, my face feels very tender to the touch, my nose is totally blocked, and i have a headache that gets significantly worse when i bend over.",Sinusitis
"I must say, my nose is severely congested and i feel incredibly run down, although my breathing remains perfectly normal so far. It has been consistently bothering me for several days.",COVID-19
"For the past few days, i am experiencing a strange craving to chew on ice, accompanied by a constant, lingering fatigue. The symptoms are really impacting my daily routine.",Anaemia
"Unfortunately, i have a terrible sore throat, my voice is wholly muffled, and i have awful bad breath that i simply cannot brush away.",Tonsillitis
"I must say, when i stand up from a chair too quickly, i get dizzy, and my hands and feet are always freezing.",Anaemia
"To be honest, my stomach ties itself in knots, my palms sweat profusely, and i feel totally on edge during normal conversations. The symptoms are really impacting my daily routine.",Anxiety Disorder
"Recently, i cannot stop sneezing and my nasal passages are absolutely blocked, although i do not have a fever. I have never experienced anything exactly like this before.",Allergic Rhinitis
"For the past few days, i cannot catch my breath at all after jogging a short distance, and i am coughing violently in the cold air. I am hoping to find some relief soon.",Asthma
"I must say, there is a tremendous amount of pressure building behind my eyes and cheekbones, and my nasal discharge is thick and yellowish green. It is extremely frustrating to deal with.",Sinusitis
"To be honest, i have a stuffy nose and a mild scratchy throat, but i am not running a fever and i can still go to work.",Common Cold
"It is hard to explain, but i have a stinging pain at the end of urination, and i feel a heavy, uncomfortable pressure right above my pubic bone.",UTI
"Lately, i am trying to speak to my husband but the words are coming out as total gibberish, and my right arm feels totally paralyzed. It is extremely frustrating to deal with.",Stroke
"Recently, my urine looks very cloudy and smells unusually strong, and i am experiencing a dull, persistent ache deep in my lower pelvis.",UTI
"I must say, my heart races sometimes when i climb stairs, and i just do not have the energy i used to possess.",Anaemia
"I must say, i have a persistent cough that produces no phlegm, and my airways feel constricted whenever i am around cats. I am starting to get very concerned about it.",Asthma
"My skin is entirely covered in blackheads and whiteheads, though I do not feel any physical pain. I am hoping to find some relief soon.",Acne
"My knee is incredibly stiff, warm to the touch, and it pulses with an agonizing pain whenever I try to bend it. It is extremely frustrating to deal with.",Gout
"Recently, i have a looming sense of dread that follows me everywhere, though there is no logical cause for my panic. I am hoping to find some relief soon.",Anxiety Disorder
"My face looks puffy, my voice sounds unusually hoarse, and I feel entirely drained of all physical energy. I do not know what to do about it anymore.",Hypothyroidism
"I must say, i have a runny nose with clear fluid and a very mild cough, but i do not have any severe muscle aches.",Common Cold
"For the past few days, i am dealing with simultaneous vomiting and loose stools, making me feel dangerously dehydrated and weak. The symptoms are really impacting my daily routine.",Gastroenteritis
"Unfortunately, i am trying to speak to my husband but the words are coming out as total gibberish, and my right arm feels totally paralyzed.",Stroke
"I am shivering uncontrollably in bed, my entire body hurts, and I have a harsh, dry cough that hurts my ribs. It is extremely frustrating to deal with.",Influenza
"I am crying frequently for no clear reason, and my appetite has absolutely disappeared over the last few weeks. I do not know what to do about it anymore.",Depression
"Lately, i have raised, angry red patches of skin wholly covered in silvery scales on my elbows that itch relentlessly.",Psoriasis
"It is hard to explain, but my wrists feel locked up and painful, although the stiffness does tend to improve slightly once i start moving around. It is becoming quite difficult to manage.",Arthritis
"I must say, i am suffering from explosive diarrhea and cold sweats, and i cannot even keep a single sip of water down. It is extremely frustrating to deal with.",Food Poisoning
"My chest feels tight and burns terribly, and it is accompanied by a dry, raspy cough that worsens at night.",GERD
"I must say, i have entirely lost my sense of taste and smell, and i am battling a persistent dry cough along with fatigue. It has been consistently bothering me for several days.",COVID-19
"Unfortunately, there is a severe, localized pain just below my ribs on the right side, and it burns intensely when i try to urinate. It has been consistently bothering me for several days.",Kidney Stones
"I must say, i have a looming sense of dread that follows me everywhere, though there is no logical cause for my panic.",Anxiety Disorder
"I must say, my skin is absolutely covered in blackheads and whiteheads, though i do not feel any physical pain.",Acne
"I cannot catch my breath at all after jogging a short distance, and I am coughing violently in the cold air. It has been consistently bothering me for several days.",Asthma
"My wrists feel locked up and painful, although the stiffness does tend to improve slightly once I start moving around. I do not know what to do about it anymore.",Arthritis
"I cannot stop sneezing and my nasal passages are wholly blocked, although I do not have a fever. It is becoming quite difficult to manage.",Allergic Rhinitis
"I cannot stop scratching these bumps all over my arms, and some of them have already popped and crusted over. It has been consistently bothering me for several days.",Chickenpox
"Getting out of my bed requires more energy than I have, and I am struggling with overwhelming feelings of worthlessness. I do not know what to do about it anymore.",Depression
"To be honest, i feel overwhelmingly nauseous and my abdomen is cramping intensely, though i have not actually vomited yet.",Food Poisoning
"Lately, my stomach is churning violently, and i am alternating between terrible chills and a high fever in the bathroom.",Food Poisoning
"Unfortunately, i have a burning sensation in my right eye, and the white part looks very inflamed and raw. It is becoming quite difficult to manage.",Conjunctivitis
"For the past few days, i started seeing weird zigzag lines in my vision, and shortly after, a severe, nauseating headache entirely incapacitated me.",Migraine
"My stomach is cramping aggressively, and I have been stuck on the toilet with watery diarrhea all morning. The symptoms are really impacting my daily routine.",Gastroenteritis
"Lately, my chest feels incredibly tight, and i am making a loud wheezing noise every time i try to breathe out.",Asthma
"For the past few days, my chest feels incredibly tight, and i am making a loud wheezing noise every time i try to breathe out.",Asthma
"I suddenly feel a terrifying shortness of breath, a cold clammy sweat, and an intense ache between my shoulder blades. I do not know what to do about it anymore.",Heart Attack
"I cannot stop sneezing and my nasal passages are absolutely blocked, although I do not have a fever. I am starting to get very concerned about it.",Allergic Rhinitis
