symptom_description,disease_label,cleaned,processed,num_label
"Lately I feel like I have pain around my cheeks and forehead, thick nasal mucus, and leaning forward makes it worse. I am struggling to get through the day. It feels pretty intense today. At the same time, i do not have a rash.",Sinusitis,lately i feel like i have pain around my cheeks and forehead thick nasal mucus and leaning forward makes it worse i am struggling to get through the day it feels pretty intense today at the same time i do not have a rash,lately feel like pain cheek forehead thick nasal mucus lean forward make bad struggle day feel pretty intense today time not rash,29
"Since earlier, I have had the flaking is noticeable, it keeps coming back in the same spots, and some areas crack and sting for on and off lately. It comes and goes but keeps bothering me. I am uncomfortable enough that it is affecting my routine. Also, i do not have diarrhea. it does not seem to settle fully.",Psoriasis,since earlier i have had the flaking is noticeable it keeps coming back in the same spots and some areas crack and sting for on and off lately it comes and goes but keeps bothering me i am uncomfortable enough that it is affecting my routine also i do not have diarrhea it does not seem to settle fully,early flaking noticeable keep come spot area crack ste lately come go keep bother uncomfortable affect routine not diarrhea not settle fully,27
"I have been dealing with white patches on my tonsils and a very sore throat, and I also notice my glands feel swollen. It feels moderate and annoying. It has been a real nuisance. At least, i do not have stomach cramps.",Tonsillitis,i have been dealing with white patches on my tonsils and a very sore throat and i also notice my glands feel swollen it feels moderate and annoying it has been a real nuisance at least i do not have stomach cramps,deal white patch tonsil sore throat notice gland feel swollen feel moderate annoying real nuisance not stomach cramp,32
"I started with pain when I pee, and now I also have the pain comes in intense waves and I cannot get comfortable. It feels severe and hard to ignore. Also, i do not have a cough. I have been trying to take it easy.",Kidney Stones,i started with pain when i pee and now i also have the pain comes in intense waves and i cannot get comfortable it feels severe and hard to ignore also i do not have a cough i have been trying to take it easy,start pain pee pain come intense wave not comfortable feel severe hard ignore not cough try easy,24
"Lately I feel like I have the spots are at different stages, an itchy blister like rash, and spots all over my body. I am sleeping poorly because of it. It feels moderate and annoying. One thing I can say is, i do not have chest pressure.",Chickenpox,lately i feel like i have the spots are at different stages an itchy blister like rash and spots all over my body i am sleeping poorly because of it it feels moderate and annoying one thing i can say is i do not have chest pressure,lately feel like spot different stage itchy blister like rash spot body sleep poorly feel moderate annoying thing not chest pressure,9
"For for several days, I have noticed a rash in the bends of my arms, red inflamed patches on my skin, and itching that gets worse at night. Also, i do not have a fever. it is making simple tasks feel harder. I do not think it is from anything obvious.",Eczema,for for several days i have noticed a rash in the bends of my arms red inflamed patches on my skin and itching that gets worse at night also i do not have a fever it is making simple tasks feel harder i do not think it is from anything obvious,day notice rash bend arm red inflame patch skin itching get bad night not fever make simple task feel hard not think obvious,14
"I have had sticky discharge from my eyes for since this morning, and I keep noticing bright light bothers me as well as watery eyes. It is really starting to get on my nerves. One thing I can say is, i do not have diarrhea.",Conjunctivitis,i have had sticky discharge from my eyes for since this morning and i keep noticing bright light bothers me as well as watery eyes it is really starting to get on my nerves one thing i can say is i do not have diarrhea,sticky discharge eye morning notice bright light bother watery eye start nerve thing not diarrhea,11
"Since earlier, I have had I find it hard to focus, my appetite has changed, and feeling empty for for the past month. It feels moderate and annoying. I am finding it hard to focus. At the same time, i do not have vomiting. I have been trying to take it easy.",Depression,since earlier i have had i find it hard to focus my appetite has changed and feeling empty for for the past month it feels moderate and annoying i am finding it hard to focus at the same time i do not have vomiting i have been trying to take it easy,early find hard focus appetite change feel past month feel moderate annoying find hard focus time not vomit try easy,12
"I have been dealing with my hands and feet feel cold and feeling weak even after resting, and I also notice looking unusually pale. It feels pretty intense today. It has been a real nuisance. Also, i do not have a sore throat.",Anaemia,i have been dealing with my hands and feet feel cold and feeling weak even after resting and i also notice looking unusually pale it feels pretty intense today it has been a real nuisance also i do not have a sore throat,deal hand foot feel cold feel weak rest notice look unusually pale feel pretty intense today real nuisance not sore throat,2
"I feel thick scaly patches on my skin, itchy patches on my elbows, and the patches look well defined today. It feels mild but persistent. I am noticing it more as the day goes on. It is really starting to get on my nerves. On top of that, i do not have a cough.",Psoriasis,i feel thick scaly patches on my skin itchy patches on my elbows and the patches look well defined today it feels mild but persistent i am noticing it more as the day goes on it is really starting to get on my nerves on top of that i do not have a cough,feel thick scaly patch skin itchy patch elbow patch look define today feel mild persistent notice day go start nerve not cough,27
"I keep having I keep wanting to rub them, sticky discharge from my eyes, and itchy irritated eyes for since yesterday. It feels moderate and annoying. I am struggling to get through the day. Also, i do not have a cough. I have been trying to take it easy.",Conjunctivitis,i keep having i keep wanting to rub them sticky discharge from my eyes and itchy irritated eyes for since yesterday it feels moderate and annoying i am struggling to get through the day also i do not have a cough i have been trying to take it easy,have want rub sticky discharge eye itchy irritated eye yesterday feel moderate annoying struggle day not cough try easy,11
"I have been dealing with mild headaches and occasional dizziness, and I also notice the headache is dull rather than sharp. It comes and goes but keeps bothering me. I feel off in myself. On top of that, i do not have a skin rash.",Hypertension,i have been dealing with mild headaches and occasional dizziness and i also notice the headache is dull rather than sharp it comes and goes but keeps bothering me i feel off in myself on top of that i do not have a skin rash,deal mild headache occasional dizziness notice headache dull sharp come go keep bother feel not skin rash,20
"I started with tightness around my forehead, and now I also have the pain is steady rather than throbbing and a dull band like headache. It feels mild but persistent. At least, i do not have vomiting. I have not noticed much improvement.",Tension Headache,i started with tightness around my forehead and now i also have the pain is steady rather than throbbing and a dull band like headache it feels mild but persistent at least i do not have vomiting i have not noticed much improvement,start tightness forehead pain steady throb dull band like headache feel mild persistent not vomit not notice improvement,31
"I have had my joints feel creaky for for a long time, and I keep noticing aching joints as well as joint pain that is worse in the morning. I feel off in myself. One thing I can say is, i do not have burning when i pee.",Arthritis,i have had my joints feel creaky for for a long time and i keep noticing aching joints as well as joint pain that is worse in the morning i feel off in myself one thing i can say is i do not have burning when i pee,joint feel creaky long time notice ache joint joint pain bad morning feel thing not burn pee,5
"I have been dealing with my chest feels hot after eating and my throat feels irritated, and I also notice I keep burping. It feels severe and hard to ignore. I feel off in myself. On top of that, i do not have burning when i pee.",GERD,i have been dealing with my chest feels hot after eating and my throat feels irritated and i also notice i keep burping it feels severe and hard to ignore i feel off in myself on top of that i do not have burning when i pee,deal chest feel hot eat throat feel irritated notice burp feel severe hard ignore feel not burn pee,16
"I have been dealing with I feel drained and feeling tired most days, and I also notice blurred vision. It feels mild but persistent. I feel off in myself. On top of that, i do not have a cough.",Type 2 Diabetes,i have been dealing with i feel drained and feeling tired most days and i also notice blurred vision it feels mild but persistent i feel off in myself on top of that i do not have a cough,deal feel drain feel tired day notice blur vision feel mild persistent feel not cough,33
"I have been dealing with a dry cough and I feel shivery, and I also notice I feel wiped out. It feels severe and hard to ignore. It is knocking me about. One thing I can say is, i do not have burning when i pee.",COVID-19,i have been dealing with a dry cough and i feel shivery and i also notice i feel wiped out it feels severe and hard to ignore it is knocking me about one thing i can say is i do not have burning when i pee,deal dry cough feel shivery notice feel wipe feel severe hard ignore knock thing not burn pee,8
"I started with slow healing cuts, and now I also have my mouth feels dry and I feel drained. It comes and goes but keeps bothering me. At least, i do not have a sore throat. it does not seem to settle fully.",Type 2 Diabetes,i started with slow healing cuts and now i also have my mouth feels dry and i feel drained it comes and goes but keeps bothering me at least i do not have a sore throat it does not seem to settle fully,start slow healing cut mouth feel dry feel drain come go keep bother not sore throat not settle fully,33
"For all of a sudden today, I have been dealing with the pain comes in intense waves, I feel restless because of it, and there is blood in my urine. I am finding it hard to focus. It has been a real nuisance. Also, i do not have a sore throat.",Kidney Stones,for all of a sudden today i have been dealing with the pain comes in intense waves i feel restless because of it and there is blood in my urine i am finding it hard to focus it has been a real nuisance also i do not have a sore throat,sudden today deal pain come intense wave feel restless blood urine find hard focus real nuisance not sore throat,24
"I have had abdominal discomfort that comes and goes, constipation on other days, and my stomach is all over the place for most weeks lately. It feels mild but persistent. I am sleeping poorly because of it. At the same time, i do not have a cough. I have been trying to take it easy.",IBS,i have had abdominal discomfort that comes and goes constipation on other days and my stomach is all over the place for most weeks lately it feels mild but persistent i am sleeping poorly because of it at the same time i do not have a cough i have been trying to take it easy,abdominal discomfort come go constipation day stomach place week lately feel mild persistent sleep poorly time not cough try easy,22
"For all week, I have been dealing with a runny nose that will not stop, itchy watery eyes, and my nose is acting up around dust. I am noticing it more as the day goes on. I feel off in myself. At least, i do not feel flu like.",Allergic Rhinitis,for all week i have been dealing with a runny nose that will not stop itchy watery eyes and my nose is acting up around dust i am noticing it more as the day goes on i feel off in myself at least i do not feel flu like,week deal runny nose not stop itchy watery eye nose act dust notice day go feel not feel flu like,1
"I have had feeling sick after eating for since this morning, and I keep noticing my stomach is churning as well as stomach cramps. It is knocking me about. One thing I can say is, i do not have ear pain.",Food Poisoning,i have had feeling sick after eating for since this morning and i keep noticing my stomach is churning as well as stomach cramps it is knocking me about one thing i can say is i do not have ear pain,feel sick eat morning notice stomach churn stomach cramp knock thing not ear pain,15
"I started with I feel weak, and now I also have my stomach feels upset and the cramps keep coming back. It feels moderate and annoying. On top of that, i do not have ear pain. it does not seem to settle fully.",Gastroenteritis,i started with i feel weak and now i also have my stomach feels upset and the cramps keep coming back it feels moderate and annoying on top of that i do not have ear pain it does not seem to settle fully,start feel weak stomach feel upset cramp come feel moderate annoying not ear pain not settle fully,17
"I started with ear pain, and now I also have I feel a bit feverish and my ear feels full. It feels pretty intense today. On top of that, i do not have a skin rash. I do not think it is from anything obvious.",Ear Infection,i started with ear pain and now i also have i feel a bit feverish and my ear feels full it feels pretty intense today on top of that i do not have a skin rash i do not think it is from anything obvious,start ear pain feel bit feverish ear feel feel pretty intense today not skin rash not think obvious,13
"I have had itching that gets worse at night for for several days, and I keep noticing cracked skin as well as soap seems to irritate it. I feel rough overall. At least, i do not have a cough.",Eczema,i have had itching that gets worse at night for for several days and i keep noticing cracked skin as well as soap seems to irritate it i feel rough overall at least i do not have a cough,itching get bad night day notice crack skin soap irritate feel rough overall not cough,14
"I have been dealing with cold air makes it worse and a cough that gets worse at night, and I also notice tightness in my chest. It comes and goes but keeps bothering me. It is knocking me about. Also, i do not have crushing chest pain.",Asthma,i have been dealing with cold air makes it worse and a cough that gets worse at night and i also notice tightness in my chest it comes and goes but keeps bothering me it is knocking me about also i do not have crushing chest pain,deal cold air make bad cough get bad night notice tightness chest come go keep bother knock not crush chest pain,6
"For for several hours, I have been dealing with even the bedsheet hurts against it, pain that is worst at night, and the joint feels very tender. I am sleeping poorly because of it. It has been a real nuisance. At the same time, i do not have burning when i pee.",Gout,for for several hours i have been dealing with even the bedsheet hurts against it pain that is worst at night and the joint feels very tender i am sleeping poorly because of it it has been a real nuisance at the same time i do not have burning when i pee,hour deal bedsheet hurt pain bad night joint feel tender sleep poorly real nuisance time not burn pee,18
"I have had my hair feels thinner for for quite a while, and I keep noticing my thinking feels slow as well as my face looks a bit puffy. I feel rough overall. At least, i do not have a rash that itches.",Hypothyroidism,i have had my hair feels thinner for for quite a while and i keep noticing my thinking feels slow as well as my face looks a bit puffy i feel rough overall at least i do not have a rash that itches,hair feel thin notice thinking feel slow face look bit puffy feel rough overall not rash itch,21
"I have had tightness in my chest for since the weekend, and I keep noticing the cough is hanging on as well as I feel worn down. It is knocking me about. Also, i do not have severe stomach cramps.",Bronchitis,i have had tightness in my chest for since the weekend and i keep noticing the cough is hanging on as well as i feel worn down it is knocking me about also i do not have severe stomach cramps,tightness chest weekend notice cough hang feel worn knock not severe stomach cramp,7
"I have been noticing heavy pressure in my chest, sweating for no clear reason, and rest is not helping for for the past hour. It feels severe and hard to ignore. it is getting in the way of my normal day. Also, i do not have burning when i pee. I notice it more at certain times of day.",Heart Attack,i have been noticing heavy pressure in my chest sweating for no clear reason and rest is not helping for for the past hour it feels severe and hard to ignore it is getting in the way of my normal day also i do not have burning when i pee i notice it more at certain times of day,notice heavy pressure chest sweating no clear reason rest not help past hour feel severe hard ignore get way normal day not burn pee notice certain time day,19
"I feel my sinuses feel irritated, a runny nose that will not stop, and itching in my nose and throat today. It feels severe and hard to ignore. it is making simple tasks feel harder. I feel rough overall. At the same time, i do not have a fever.",Allergic Rhinitis,i feel my sinuses feel irritated a runny nose that will not stop and itching in my nose and throat today it feels severe and hard to ignore it is making simple tasks feel harder i feel rough overall at the same time i do not have a fever,feel sinus feel irritated runny nose not stop itch nose throat today feel severe hard ignore make simple task feel hard feel rough overall time not fever,1
"For for several hours, I have noticed pain when I pee, the pain comes in intense waves, and my lower back hurts badly on one side. One thing I can say is, i do not have a sore throat. it is making simple tasks feel harder. I do not think it is from anything obvious.",Kidney Stones,for for several hours i have noticed pain when i pee the pain comes in intense waves and my lower back hurts badly on one side one thing i can say is i do not have a sore throat it is making simple tasks feel harder i do not think it is from anything obvious,hour notice pain pee pain come intense wave low hurt badly thing not sore throat make simple task feel hard not think obvious,24
"I feel I get out of breath easily, my breathing feels heavy, and I feel shivery today. It comes and goes but keeps bothering me. it is getting in the way of my normal day. It has been a real nuisance. One thing I can say is, i do not have a rash.",Pneumonia,i feel i get out of breath easily my breathing feels heavy and i feel shivery today it comes and goes but keeps bothering me it is getting in the way of my normal day it has been a real nuisance one thing i can say is i do not have a rash,feel breath easily breathing feel heavy feel shivery today come go keep bother get way normal day real nuisance thing not rash,26
"Lately I feel like I have my joints feel creaky, swollen finger joints, and reduced movement in my joints. I am struggling to get through the day. It feels pretty intense today. One thing I can say is, i do not have a sore throat.",Arthritis,lately i feel like i have my joints feel creaky swollen finger joints and reduced movement in my joints i am struggling to get through the day it feels pretty intense today one thing i can say is i do not have a sore throat,lately feel like joint feel creaky swell finger joint reduced movement joint struggle day feel pretty intense today thing not sore throat,5
"I started with the pain goes into my jaw, and now I also have heavy pressure in my chest and a crushing feeling in my chest. It feels mild but persistent. At least, i do not have a blocked nose. I have been trying to take it easy.",Heart Attack,i started with the pain goes into my jaw and now i also have heavy pressure in my chest and a crushing feeling in my chest it feels mild but persistent at least i do not have a blocked nose i have been trying to take it easy,start pain go jaw heavy pressure chest crush feeling chest feel mild persistent not block nose try easy,19
"For on and off lately, I have been dealing with pressure at the back of my head, it feels like a tight strap around my head, and tightness around my forehead. I am noticing it more as the day goes on. It has been a real nuisance. Also, i do not have burning when i pee.",Tension Headache,for on and off lately i have been dealing with pressure at the back of my head it feels like a tight strap around my head and tightness around my forehead i am noticing it more as the day goes on it has been a real nuisance also i do not have burning when i pee,lately deal pressure head feel like tight strap head tightness forehead notice day go real nuisance not burn pee,31
"I feel small fluid filled bumps, my skin feels very irritated, and itching that keeps spreading today. It feels moderate and annoying. I am finding it hard to focus. It is knocking me about. At the same time, i do not have burning when i pee.",Chickenpox,i feel small fluid filled bumps my skin feels very irritated and itching that keeps spreading today it feels moderate and annoying i am finding it hard to focus it is knocking me about at the same time i do not have burning when i pee,feel small fluid fill bump skin feel irritated itching keep spread today feel moderate annoying find hard focus knock time not burn pee,9
"I have been dealing with itching that keeps spreading and fever with a rash, and I also notice small fluid filled bumps. It feels mild but persistent. It is knocking me about. One thing I can say is, i do not have burning when i pee.",Chickenpox,i have been dealing with itching that keeps spreading and fever with a rash and i also notice small fluid filled bumps it feels mild but persistent it is knocking me about one thing i can say is i do not have burning when i pee,deal itching keep spread fever rash notice small fluid fill bump feel mild persistent knock thing not burn pee,9
"Lately I feel like I have aching joints, gripping things feels harder, and my joints feel creaky. I am sleeping poorly because of it. It feels mild but persistent. At the same time, i do not have a cough.",Arthritis,lately i feel like i have aching joints gripping things feels harder and my joints feel creaky i am sleeping poorly because of it it feels mild but persistent at the same time i do not have a cough,lately feel like ache joint grip thing feel hard joint feel creaky sleep poorly feel mild persistent time not cough,5
"I feel I feel rattly in my chest, my throat feels irritated from coughing, and I have a mild fever today. It feels moderate and annoying. I am finding it hard to focus. I feel off in myself. At the same time, i do not have red itchy eyes.",Bronchitis,i feel i feel rattly in my chest my throat feels irritated from coughing and i have a mild fever today it feels moderate and annoying i am finding it hard to focus i feel off in myself at the same time i do not have red itchy eyes,feel feel rattly chest throat feel irritated cough mild fever today feel moderate annoying find hard focus feel time not red itchy eye,7
"Lately I feel like I have tingling followed by a rash, the area feels sore even before touching it, and the skin feels prickly. I am sleeping poorly because of it. It feels moderate and annoying. On top of that, i do not have a runny nose.",Shingles,lately i feel like i have tingling followed by a rash the area feels sore even before touching it and the skin feels prickly i am sleeping poorly because of it it feels moderate and annoying on top of that i do not have a runny nose,lately feel like tingling follow rash area feel sore touch skin feel prickly sleep poorly feel moderate annoying not runny nose,28
"Since earlier, I have had watery eyes, red eyes, and sticky discharge from my eyes for over the last day or two. It feels mild but persistent. it is making simple tasks feel harder. One thing I can say is, i do not have diarrhea. I do not think it is from anything obvious.",Conjunctivitis,since earlier i have had watery eyes red eyes and sticky discharge from my eyes for over the last day or two it feels mild but persistent it is making simple tasks feel harder one thing i can say is i do not have diarrhea i do not think it is from anything obvious,early watery eye red eye sticky discharge eye day feel mild persistent make simple task feel hard thing not diarrhea not think obvious,11
"I have had a runny nose for for two days, and I keep noticing my nose will not stop dripping as well as sneezing. It is knocking me about. At least, i do not have vomiting.",Common Cold,i have had a runny nose for for two days and i keep noticing my nose will not stop dripping as well as sneezing it is knocking me about at least i do not have vomiting,runny nose day notice nose not stop dripping sneeze knock not vomit,10
"Lately I feel like I have constant worrying, restlessness that I cannot settle, and I feel shaky and tense. I am sleeping poorly because of it. It feels moderate and annoying. At the same time, i do not notice a rash.",Anxiety Disorder,lately i feel like i have constant worrying restlessness that i cannot settle and i feel shaky and tense i am sleeping poorly because of it it feels moderate and annoying at the same time i do not notice a rash,lately feel like constant worrying restlessness not settle feel shaky tense sleep poorly feel moderate annoying time not notice rash,3
"Lately I feel like I have I noticed it during a blood pressure check, I sometimes feel fine but my readings stay high, and feeling flushed. I am sleeping poorly because of it. It feels pretty intense today. At the same time, i do not have burning when i pee.",Hypertension,lately i feel like i have i noticed it during a blood pressure check i sometimes feel fine but my readings stay high and feeling flushed i am sleeping poorly because of it it feels pretty intense today at the same time i do not have burning when i pee,lately feel like notice blood pressure check feel fine reading stay high feel flushed sleep poorly feel pretty intense today time not burn pee,20
"I feel my head hurts, a dry cough, and extreme tiredness today. It feels pretty intense today. I am uncomfortable enough that it is affecting my routine. I feel rough overall. Also, i do not have ear discharge.",Influenza,i feel my head hurts a dry cough and extreme tiredness today it feels pretty intense today i am uncomfortable enough that it is affecting my routine i feel rough overall also i do not have ear discharge,feel head hurt dry cough extreme tiredness today feel pretty intense today uncomfortable affect routine feel rough overall not ear discharge,23
"For since last week, I have noticed leaning forward makes it worse, a blocked nose, and my nose is stuffed up. On top of that, i do not have a rash. it is getting in the way of my normal day. I do not think it is from anything obvious.",Sinusitis,for since last week i have noticed leaning forward makes it worse a blocked nose and my nose is stuffed up on top of that i do not have a rash it is getting in the way of my normal day i do not think it is from anything obvious,week notice lean forward make bad block nose nose stuff not rash get way normal day not think obvious,29
"I have had my hair feels thinner, feeling tired all the time, and my energy is very low for for months. It comes and goes but keeps bothering me. it is making simple tasks feel harder. At least, i do not have a rash that itches. it does not seem to settle fully.",Hypothyroidism,i have had my hair feels thinner feeling tired all the time and my energy is very low for for months it comes and goes but keeps bothering me it is making simple tasks feel harder at least i do not have a rash that itches it does not seem to settle fully,hair feel thin feeling tired time energy low month come go keep bother make simple task feel hard not rash itch not settle fully,21
"Lately I feel like I have shortness of breath with little effort, I get worn out very easily, and looking unusually pale. I am uncomfortable enough that it is affecting my routine. It feels pretty intense today. Also, i do not have a sore throat.",Anaemia,lately i feel like i have shortness of breath with little effort i get worn out very easily and looking unusually pale i am uncomfortable enough that it is affecting my routine it feels pretty intense today also i do not have a sore throat,lately feel like shortness breath little effort wear easily look unusually pale uncomfortable affect routine feel pretty intense today not sore throat,2
"I feel I feel slightly feverish, I feel sick to my stomach, and nausea with stomach pain today. It comes and goes but keeps bothering me. it is making simple tasks feel harder. It has been a real nuisance. At least, i do not have much diarrhea.",Appendicitis,i feel i feel slightly feverish i feel sick to my stomach and nausea with stomach pain today it comes and goes but keeps bothering me it is making simple tasks feel harder it has been a real nuisance at least i do not have much diarrhea,feel feel slightly feverish feel sick stomach nausea stomach pain today come go keep bother make simple task feel hard real nuisance not diarrhea,4
"For for quite a while, I have noticed red plaques with silvery scale, itchy patches on my elbows, and the flaking is noticeable. Also, i do not have diarrhea. I am uncomfortable enough that it is affecting my routine. I do not think it is from anything obvious.",Psoriasis,for for quite a while i have noticed red plaques with silvery scale itchy patches on my elbows and the flaking is noticeable also i do not have diarrhea i am uncomfortable enough that it is affecting my routine i do not think it is from anything obvious,notice red plaque silvery scale itchy patch elbow flaking noticeable not diarrhea uncomfortable affect routine not think obvious,27
"Lately, I have been dealing with fever with a rash, my skin feels very irritated, and the spots are at different stages for for a couple of days. It feels severe and hard to ignore. I am noticing it more as the day goes on. On top of that, i do not have chest pressure. I do not think it is from anything obvious.",Chickenpox,lately i have been dealing with fever with a rash my skin feels very irritated and the spots are at different stages for for a couple of days it feels severe and hard to ignore i am noticing it more as the day goes on on top of that i do not have chest pressure i do not think it is from anything obvious,lately deal fever rash skin feel irritated spot different stage couple day feel severe hard ignore notice day go not chest pressure not think obvious,9
"I have had my glands feel swollen for for a few days, and I keep noticing I feel run down as well as my breath smells bad. I feel off in myself. One thing I can say is, i do not have joint swelling.",Tonsillitis,i have had my glands feel swollen for for a few days and i keep noticing i feel run down as well as my breath smells bad i feel off in myself one thing i can say is i do not have joint swelling,gland feel swollen day notice feel run breath smell bad feel thing not joint swelling,32
"Lately I feel like I have painful pimples on my cheeks, some spots look swollen, and small red bumps on my face. I am noticing it more as the day goes on. It feels mild but persistent. One thing I can say is, i do not have a fever.",Acne,lately i feel like i have painful pimples on my cheeks some spots look swollen and small red bumps on my face i am noticing it more as the day goes on it feels mild but persistent one thing i can say is i do not have a fever,lately feel like painful pimple cheek spot look swollen small red bump face notice day go feel mild persistent thing not fever,0
"I feel the cough is hanging on, my throat feels irritated from coughing, and bringing up mucus when I cough today. It comes and goes but keeps bothering me. it is getting in the way of my normal day. I feel rough overall. Also, i do not have red itchy eyes.",Bronchitis,i feel the cough is hanging on my throat feels irritated from coughing and bringing up mucus when i cough today it comes and goes but keeps bothering me it is getting in the way of my normal day i feel rough overall also i do not have red itchy eyes,feel cough hang throat feel irritated cough bring mucus cough today come go keep bother get way normal day feel rough overall not red itchy eye,7
