symptom_description,disease_label
"I started with slow healing cuts, and now I also have my mouth feels dry and I feel drained. It comes and goes but keeps bothering me. At least, i do not have a sore throat. it does not seem to settle fully.",Type 2 Diabetes
"For all of a sudden today, I have been dealing with the pain comes in intense waves, I feel restless because of it, and there is blood in my urine. I am finding it hard to focus. It has been a real nuisance. Also, i do not have a sore throat.",Kidney Stones
"I have had abdominal discomfort that comes and goes, constipation on other days, and my stomach is all over the place for most weeks lately. It feels mild but persistent. I am sleeping poorly because of it. At the same time, i do not have a cough. I have been trying to take it easy.",IBS
"For all week, I have been dealing with a runny nose that will not stop, itchy watery eyes, and my nose is acting up around dust. I am noticing it more as the day goes on. I feel off in myself. At least, i do not feel flu like.",Allergic Rhinitis
"I have had feeling sick after eating for since this morning, and I keep noticing my stomach is churning as well as stomach cramps. It is knocking me about. One thing I can say is, i do not have ear pain.",Food Poisoning
"I started with I feel weak, and now I also have my stomach feels upset and the cramps keep coming back. It feels moderate and annoying. On top of that, i do not have ear pain. it does not seem to settle fully.",Gastroenteritis
"I started with ear pain, and now I also have I feel a bit feverish and my ear feels full. It feels pretty intense today. On top of that, i do not have a skin rash. I do not think it is from anything obvious.",Ear Infection
"I have had itching that gets worse at night for for several days, and I keep noticing cracked skin as well as soap seems to irritate it. I feel rough overall. At least, i do not have a cough.",Eczema
"I have been dealing with cold air makes it worse and a cough that gets worse at night, and I also notice tightness in my chest. It comes and goes but keeps bothering me. It is knocking me about. Also, i do not have crushing chest pain.",Asthma
"For for several hours, I have been dealing with even the bedsheet hurts against it, pain that is worst at night, and the joint feels very tender. I am sleeping poorly because of it. It has been a real nuisance. At the same time, i do not have burning when i pee.",Gout
"I have had my hair feels thinner for for quite a while, and I keep noticing my thinking feels slow as well as my face looks a bit puffy. I feel rough overall. At least, i do not have a rash that itches.",Hypothyroidism
"I have had tightness in my chest for since the weekend, and I keep noticing the cough is hanging on as well as I feel worn down. It is knocking me about. Also, i do not have severe stomach cramps.",Bronchitis
"I have been noticing heavy pressure in my chest, sweating for no clear reason, and rest is not helping for for the past hour. It feels severe and hard to ignore. it is getting in the way of my normal day. Also, i do not have burning when i pee. I notice it more at certain times of day.",Heart Attack
"I feel my sinuses feel irritated, a runny nose that will not stop, and itching in my nose and throat today. It feels severe and hard to ignore. it is making simple tasks feel harder. I feel rough overall. At the same time, i do not have a fever.",Allergic Rhinitis
"For for several hours, I have noticed pain when I pee, the pain comes in intense waves, and my lower back hurts badly on one side. One thing I can say is, i do not have a sore throat. it is making simple tasks feel harder. I do not think it is from anything obvious.",Kidney Stones
"I feel I get out of breath easily, my breathing feels heavy, and I feel shivery today. It comes and goes but keeps bothering me. it is getting in the way of my normal day. It has been a real nuisance. One thing I can say is, i do not have a rash.",Pneumonia
"Lately I feel like I have my joints feel creaky, swollen finger joints, and reduced movement in my joints. I am struggling to get through the day. It feels pretty intense today. One thing I can say is, i do not have a sore throat.",Arthritis
"I started with the pain goes into my jaw, and now I also have heavy pressure in my chest and a crushing feeling in my chest. It feels mild but persistent. At least, i do not have a blocked nose. I have been trying to take it easy.",Heart Attack
"For on and off lately, I have been dealing with pressure at the back of my head, it feels like a tight strap around my head, and tightness around my forehead. I am noticing it more as the day goes on. It has been a real nuisance. Also, i do not have burning when i pee.",Tension Headache
"I feel small fluid filled bumps, my skin feels very irritated, and itching that keeps spreading today. It feels moderate and annoying. I am finding it hard to focus. It is knocking me about. At the same time, i do not have burning when i pee.",Chickenpox
"I have been dealing with itching that keeps spreading and fever with a rash, and I also notice small fluid filled bumps. It feels mild but persistent. It is knocking me about. One thing I can say is, i do not have burning when i pee.",Chickenpox
"Lately I feel like I have aching joints, gripping things feels harder, and my joints feel creaky. I am sleeping poorly because of it. It feels mild but persistent. At the same time, i do not have a cough.",Arthritis
"I feel I feel rattly in my chest, my throat feels irritated from coughing, and I have a mild fever today. It feels moderate and annoying. I am finding it hard to focus. I feel off in myself. At the same time, i do not have red itchy eyes.",Bronchitis
"Lately I feel like I have tingling followed by a rash, the area feels sore even before touching it, and the skin feels prickly. I am sleeping poorly because of it. It feels moderate and annoying. On top of that, i do not have a runny nose.",Shingles
"Since earlier, I have had watery eyes, red eyes, and sticky discharge from my eyes for over the last day or two. It feels mild but persistent. it is making simple tasks feel harder. One thing I can say is, i do not have diarrhea. I do not think it is from anything obvious.",Conjunctivitis
"I have had a runny nose for for two days, and I keep noticing my nose will not stop dripping as well as sneezing. It is knocking me about. At least, i do not have vomiting.",Common Cold
"Lately I feel like I have constant worrying, restlessness that I cannot settle, and I feel shaky and tense. I am sleeping poorly because of it. It feels moderate and annoying. At the same time, i do not notice a rash.",Anxiety Disorder
"Lately I feel like I have I noticed it during a blood pressure check, I sometimes feel fine but my readings stay high, and feeling flushed. I am sleeping poorly because of it. It feels pretty intense today. At the same time, i do not have burning when i pee.",Hypertension
"I feel my head hurts, a dry cough, and extreme tiredness today. It feels pretty intense today. I am uncomfortable enough that it is affecting my routine. I feel rough overall. Also, i do not have ear discharge.",Influenza
"For since last week, I have noticed leaning forward makes it worse, a blocked nose, and my nose is stuffed up. On top of that, i do not have a rash. it is getting in the way of my normal day. I do not think it is from anything obvious.",Sinusitis
"I have had my hair feels thinner, feeling tired all the time, and my energy is very low for for months. It comes and goes but keeps bothering me. it is making simple tasks feel harder. At least, i do not have a rash that itches. it does not seem to settle fully.",Hypothyroidism
"Lately I feel like I have shortness of breath with little effort, I get worn out very easily, and looking unusually pale. I am uncomfortable enough that it is affecting my routine. It feels pretty intense today. Also, i do not have a sore throat.",Anaemia
"I feel I feel slightly feverish, I feel sick to my stomach, and nausea with stomach pain today. It comes and goes but keeps bothering me. it is making simple tasks feel harder. It has been a real nuisance. At least, i do not have much diarrhea.",Appendicitis
"For for quite a while, I have noticed red plaques with silvery scale, itchy patches on my elbows, and the flaking is noticeable. Also, i do not have diarrhea. I am uncomfortable enough that it is affecting my routine. I do not think it is from anything obvious.",Psoriasis
"Lately, I have been dealing with fever with a rash, my skin feels very irritated, and the spots are at different stages for for a couple of days. It feels severe and hard to ignore. I am noticing it more as the day goes on. On top of that, i do not have chest pressure. I do not think it is from anything obvious.",Chickenpox
"I have had my glands feel swollen for for a few days, and I keep noticing I feel run down as well as my breath smells bad. I feel off in myself. One thing I can say is, i do not have joint swelling.",Tonsillitis
"Lately I feel like I have painful pimples on my cheeks, some spots look swollen, and small red bumps on my face. I am noticing it more as the day goes on. It feels mild but persistent. One thing I can say is, i do not have a fever.",Acne
"I feel the cough is hanging on, my throat feels irritated from coughing, and bringing up mucus when I cough today. It comes and goes but keeps bothering me. it is getting in the way of my normal day. I feel rough overall. Also, i do not have red itchy eyes.",Bronchitis
"I have had a rash in the bends of my arms for on and off lately, and I keep noticing the rash keeps coming back as well as cracked skin. I feel rough overall. At least, i do not have severe stomach pain.",Eczema
"I have been dealing with diarrhea and feeling sick after eating, and I also notice I feel a bit feverish. It feels pretty intense today. I feel rough overall. On top of that, i do not have joint stiffness.",Food Poisoning
"For for several days, I have been dealing with mild shortness of breath, tightness in my chest, and my throat feels irritated from coughing. I am sleeping poorly because of it. It is really starting to get on my nerves. At least, i do not have severe stomach cramps.",Bronchitis
"I have had I get out of breath easily for since last week, and I keep noticing fever as well as chest pain when I breathe deeply. It has been a real nuisance. One thing I can say is, i do not have a rash.",Pneumonia
"I feel discomfort that gets worse when I lie down, my throat feels irritated, and my chest feels hot after eating today. It feels moderate and annoying. it is getting in the way of my normal day. I feel rough overall. One thing I can say is, i do not have a rash.",GERD
"I have had a blocked feeling in my ear for since last night, and I keep noticing my ear feels full as well as pressure inside my ear. It has been a real nuisance. At the same time, i do not have diarrhea.",Ear Infection
"I have had I have trouble concentrating for more and more lately, and I keep noticing feeling weak even after resting as well as I get worn out very easily. I feel rough overall. At least, i do not have a sore throat.",Anaemia
"I feel white patches on my tonsils, pain when I swallow, and my breath smells bad today. It comes and goes but keeps bothering me. I am finding it hard to focus. I feel off in myself. Also, i do not have stomach cramps.",Tonsillitis
"For for several hours, I have been dealing with sudden severe pain in my big toe, pain that is worst at night, and the area looks inflamed. I am sleeping poorly because of it. I feel off in myself. At the same time, i do not have a sore throat.",Gout
"For most days lately, I have been dealing with feeling empty, my sleep is off, and even small tasks feel heavy. I am noticing it more as the day goes on. It is knocking me about. On top of that, i do not have a fever.",Depression
"For since yesterday, I have been dealing with the symptoms get worse outside, my nose is acting up around dust, and itchy watery eyes. it is making simple tasks feel harder. I feel off in myself. Also, i do not have body aches.",Allergic Rhinitis
"I have had one eye started first and now both feel irritated for since this morning, and I keep noticing my eyes look pink as well as I keep wanting to rub them. I feel off in myself. On top of that, i do not have chest pain.",Conjunctivitis
"I have had I noticed it during a blood pressure check for lately, and I keep noticing the headache is dull rather than sharp as well as mild headaches. It is knocking me about. At the same time, i do not have burning when i pee.",Hypertension
"I started with I have post nasal drip, and now I also have my upper teeth ache a bit and facial pressure. It feels mild but persistent. One thing I can say is, i do not have a rash. I notice it more at certain times of day.",Sinusitis
"I have been dealing with trouble getting myself going and feeling empty, and I also notice my sleep is off. It feels pretty intense today. It is really starting to get on my nerves. Also, i do not have a rash.",Depression
"Lately I feel like I have chest pain when I breathe deeply, bringing up phlegm, and fever. it is getting in the way of my normal day. It comes and goes but keeps bothering me. At the same time, i do not have toe joint swelling.",Pneumonia
"I have been dealing with cold air makes it worse and I have to pause to catch my breath, and I also notice a cough that gets worse at night. It feels mild but persistent. It is really starting to get on my nerves. At the same time, i do not have crushing chest pain.",Asthma
"For on and off for months, I have noticed restlessness that I cannot settle, feeling on edge all the time, and constant worrying. At the same time, i do not notice a rash. I am finding it hard to focus. it does not seem to settle fully.",Anxiety Disorder
"I have been dealing with vomiting and the cramps come in waves, and I also notice feeling sick after eating. It feels mild but persistent. It is really starting to get on my nerves. Also, i do not have ear pain.",Food Poisoning
"Lately, I have been dealing with my breathing feels heavy, chest pain when I breathe deeply, and shortness of breath for since the weekend. It feels mild but persistent. I am uncomfortable enough that it is affecting my routine. One thing I can say is, i do not have itchy eyes. I notice it more at certain times of day.",Pneumonia
"I have been dealing with thick nasal mucus and my face feels full and heavy, and I also notice leaning forward makes it worse. It feels mild but persistent. I feel rough overall. At least, i do not have a rash.",Sinusitis
"I feel I feel uncomfortable after some meals, constipation on other days, and my stomach is all over the place today. It feels moderate and annoying. it is making simple tasks feel harder. I feel rough overall. At least, i do not have a skin rash.",IBS
"I feel a chesty cough, mild shortness of breath, and I have a mild fever today. It feels mild but persistent. I am noticing it more as the day goes on. It is really starting to get on my nerves. At the same time, i do not have red itchy eyes.",Bronchitis
"For since yesterday, I have been dealing with a runny nose, sneezing, and I have mild sinus pressure. I am noticing it more as the day goes on. I feel rough overall. At the same time, i do not have a high fever.",Common Cold
"For on and off recently, I have been dealing with I sometimes feel fine but my readings stay high, feeling flushed, and I noticed it during a blood pressure check. I am finding it hard to focus. I feel off in myself. Also, i do not have burning when i pee.",Hypertension
"Lately I feel like I have tightness around my forehead, stress seems to bring it on, and a dull band like headache. I am sleeping poorly because of it. It feels moderate and annoying. Also, i do not have a rash.",Tension Headache
"I have been dealing with sharp pain in my lower right abdomen and pain that started near my belly button and moved to the lower right side, and I also notice walking makes the pain worse. It feels pretty intense today. It is really starting to get on my nerves. One thing I can say is, i do not have a runny nose.",Appendicitis
"For for the past several weeks, I have been dealing with dry skin, I feel sluggish, and my thinking feels slow. it is getting in the way of my normal day. It has been a real nuisance. One thing I can say is, i do not have a rash that itches.",Hypothyroidism
"For more and more lately, I have been dealing with blurred vision, I keep going to the toilet more often, and needing to pee a lot. it is getting in the way of my normal day. I feel rough overall. At least, i do not have a cough.",Type 2 Diabetes
"I started with an itchy blister like rash, and now I also have the spots are at different stages and small fluid filled bumps. It feels mild but persistent. At least, i do not have chest pressure. I have been trying to take it easy.",Chickenpox
"For since last night, I have noticed my stomach is churning, I feel weak and washed out, and the cramps come in waves. At the same time, i do not have ear pain. I am noticing it more as the day goes on. I do not think it is from anything obvious.",Food Poisoning
"I have been dealing with itchy irritated eyes and I keep wanting to rub them, and I also notice a gritty feeling in my eyes. It feels pretty intense today. It has been a real nuisance. One thing I can say is, i do not have diarrhea.",Conjunctivitis
"For for weeks, I have noticed feeling very thirsty, I get hungry again quickly, and slow healing cuts. On top of that, i do not have a sore throat. I am struggling to get through the day. I do not think it is from anything obvious.",Type 2 Diabetes
"For the past few days, I have had cloudy urine, needing to pee very often, and it stings badly when I pee for since yesterday. It feels severe and hard to ignore. I am uncomfortable enough that it is affecting my routine. On top of that, i do not have chest tightness. I do not think it is from anything obvious.",UTI
"Lately I feel like I have I feel shivery, loss of smell and taste, and my throat feels sore. I am sleeping poorly because of it. It feels moderate and annoying. On top of that, i do not have a skin rash.",COVID-19
"I keep having itchy irritated eyes, red eyes, and bright light bothers me for since yesterday. It feels mild but persistent. it is making simple tasks feel harder. On top of that, i do not have chest pain. I have not noticed much improvement.",Conjunctivitis
"For all of a sudden, I have been dealing with sudden numbness in my arm, the symptoms came on suddenly, and I feel unsteady. I am sleeping poorly because of it. It is knocking me about. On top of that, i do not have diarrhea.",Stroke
"I keep having I have post nasal drip, my upper teeth ache a bit, and a blocked nose for for about a week. It feels mild but persistent. I am noticing it more as the day goes on. One thing I can say is, i do not have swollen toe joints. I do not think it is from anything obvious.",Sinusitis
"Lately I feel like I have a tender belly on the right side, my stomach feels tight and sore, and walking makes the pain worse. I am struggling to get through the day. It feels severe and hard to ignore. On top of that, i do not have a runny nose.",Appendicitis
"I have been dealing with some spots look swollen and my skin feels oily, and I also notice a few bumps have pus in them. It feels mild but persistent. I feel off in myself. On top of that, i do not notice any cough.",Acne
"I have had a few bumps have pus in them for on and off this month, and I keep noticing the area looks irritated as well as small red bumps on my face. It has been a real nuisance. At the same time, i do not feel sick otherwise.",Acne
"I feel my mind keeps jumping to worst case scenarios, feeling on edge all the time, and a racing heart when nothing is happening today. It feels moderate and annoying. I am struggling to get through the day. It is really starting to get on my nerves. One thing I can say is, i do not have a productive cough.",Anxiety Disorder
"I have been dealing with my urine smells strong and I feel uncomfortable in my pelvis, and I also notice feeling like I need to pee again right away. It feels mild but persistent. It is really starting to get on my nerves. Also, i do not have chest tightness.",UTI
"I have had red eyes, I keep wanting to rub them, and my eyes look pink for since yesterday. It feels severe and hard to ignore. I am noticing it more as the day goes on. One thing I can say is, i do not have burning when i pee. I have been trying to take it easy.",Conjunctivitis
"For on and off this week, I have been dealing with heartburn, heavy meals make it worse, and my chest feels hot after eating. I am noticing it more as the day goes on. It has been a real nuisance. At the same time, i do not have burning when i pee.",GERD
"I have been noticing acid coming up into my throat, my chest feels hot after eating, and discomfort that gets worse when I lie down for most evenings. It feels severe and hard to ignore. I am uncomfortable enough that it is affecting my routine. Also, i do not have burning when i pee. I do not think it is from anything obvious.",GERD
"I have been dealing with the flaking is noticeable and the patches look well defined, and I also notice my skin feels irritated. It feels pretty intense today. It is knocking me about. On top of that, i do not have a cough.",Psoriasis
"For for two days, I have been dealing with fever, I feel wiped out, and I feel shivery. I am sleeping poorly because of it. I feel rough overall. At least, i do not have burning when i pee.",COVID-19
"Lately, I have been dealing with sensitivity to sound, I feel pressure behind one eye, and moving makes it worse for since this morning. It feels mild but persistent. I am struggling to get through the day. On top of that, i do not have burning when i pee. I have been trying to take it easy.",Migraine
"I have had reduced hearing on one side for for a few days, and I keep noticing there has been some fluid from my ear as well as pressure inside my ear. It is really starting to get on my nerves. On top of that, i do not have a skin rash.",Ear Infection
"For more and more lately, I have been dealing with feeling tired most days, slow healing cuts, and I have noticed some weight change. I am noticing it more as the day goes on. I feel rough overall. Also, i do not have vomiting.",Type 2 Diabetes
"For since yesterday, I have been dealing with body aches, feeling very tired, and fever. I am noticing it more as the day goes on. It is really starting to get on my nerves. At least, i do not have a skin rash.",COVID-19
"For since early this morning, I have been dealing with redness around my toe joint, it came on all of a sudden, and walking is painful. I am finding it hard to focus. I feel off in myself. On top of that, i do not have burning when i pee.",Gout
"I have had feeling tired most days for for months, and I keep noticing I have noticed some weight change as well as I get hungry again quickly. It is really starting to get on my nerves. At the same time, i do not have vomiting.",Type 2 Diabetes
"Since earlier, I have had I keep going to the toilet more often, blurred vision, and needing to pee a lot for more and more lately. It feels moderate and annoying. I am struggling to get through the day. One thing I can say is, i do not have a sore throat. it does not seem to settle fully.",Type 2 Diabetes
"Lately I feel like I have a dry cough, I feel like I got hit by a truck, and I feel shivery and weak. I am struggling to get through the day. It feels severe and hard to ignore. At least, i do not have a rash.",Influenza
"Lately I feel like I have my breathing feels heavy, I feel very weak, and fever. I am struggling to get through the day. It comes and goes but keeps bothering me. At the same time, i do not have burning when i pee.",Pneumonia
"I have had burning skin pain for since the pain started a day ago, and I keep noticing a painful blistering rash on one side of my body as well as the area feels sore even before touching it. I feel off in myself. At the same time, i do not have diarrhea.",Shingles
"I have had one side feels heavy for just earlier today, and I keep noticing slurred speech as well as my smile feels uneven. It is really starting to get on my nerves. One thing I can say is, i do not have itching in my eyes.",Stroke
"I have been dealing with walking makes the pain worse and I have lost my appetite, and I also notice I feel sick to my stomach. It feels pretty intense today. It is really starting to get on my nerves. At least, i do not have a runny nose.",Appendicitis
"I have had the pain is intense and pulsing for for several hours, and I keep noticing I sometimes see flashing lights as well as I feel pressure behind one eye. It is really starting to get on my nerves. One thing I can say is, i do not have a skin rash.",Migraine
"Lately I feel like I have I feel rattly in my chest, my throat feels irritated from coughing, and I feel worn down. I am uncomfortable enough that it is affecting my routine. It feels severe and hard to ignore. At the same time, i do not have red itchy eyes.",Bronchitis
"Lately I feel like I have the symptoms came on suddenly, sudden numbness in my arm, and one side feels heavy. it is getting in the way of my normal day. It feels mild but persistent. At the same time, i do not have a rash.",Stroke
"I have been dealing with pain around my cheeks and forehead and a headache with sinus pressure, and I also notice facial pressure. It feels pretty intense today. It has been a real nuisance. Also, i do not have vomiting.",Sinusitis
"Since earlier, I have had a dry cough, high fever, and my throat is sore for for two days. It feels severe and hard to ignore. it is making simple tasks feel harder. At the same time, i do not have ear discharge. it does not seem to settle fully.",Influenza
"Lately I feel like I have I feel shaky and tense, my stomach gets tied in knots, and feeling on edge all the time. I am uncomfortable enough that it is affecting my routine. It feels mild but persistent. On top of that, i do not have a productive cough.",Anxiety Disorder
"I have had the rash keeps coming back, my skin feels rough, and a rash in the bends of my arms for for weeks. It feels severe and hard to ignore. I am uncomfortable enough that it is affecting my routine. At least, i do not have severe stomach pain. I notice it more at certain times of day.",Eczema
"For the past few days, I have had feeling tired all the time, my energy is very low, and my thinking feels slow for for months. It feels pretty intense today. I am noticing it more as the day goes on. Also, i do not have a rash that itches. I have been trying to take it easy.",Hypothyroidism
"For very suddenly, I have noticed high fever, chills, and I feel like I got hit by a truck. On top of that, i do not have swollen toe joints. I am noticing it more as the day goes on. I have not noticed much improvement.",Influenza
"I started with sudden severe pain in my big toe, and now I also have it came on all of a sudden and pain that is worst at night. It feels moderate and annoying. At least, i do not have a cough. I have not noticed much improvement.",Gout
"I have had sharp pain in my lower right abdomen for since last night, and I keep noticing nausea with stomach pain as well as I have lost my appetite. I feel off in myself. Also, i do not have a runny nose.",Appendicitis
"I feel abdominal discomfort that comes and goes, stomach cramps, and stress seems to make it worse today. It feels severe and hard to ignore. I am sleeping poorly because of it. I feel off in myself. At least, i do not have a cough.",IBS
"For very suddenly, I have been dealing with high fever, strong body aches, and my head hurts. I am sleeping poorly because of it. It is really starting to get on my nerves. Also, i do not have burning when i pee.",Influenza
"I have been dealing with my appetite has changed and I feel hopeless, and I also notice my sleep is off. It feels severe and hard to ignore. I feel off in myself. One thing I can say is, i do not have vomiting.",Depression
"I have been dealing with feeling feverish and the cramps keep coming back, and I also notice nausea. It comes and goes but keeps bothering me. I feel rough overall. On top of that, i do not have itchy eyes.",Gastroenteritis
"Lately I feel like I have walking makes the pain worse, pain that gets worse when I move, and I have lost my appetite. I am uncomfortable enough that it is affecting my routine. It feels pretty intense today. Also, i do not have itchy eyes.",Appendicitis
"For since yesterday, I have noticed the rash is on my torso and face, my skin feels very irritated, and the spots are at different stages. On top of that, i do not have severe belly cramps. I am sleeping poorly because of it. I notice it more at certain times of day.",Chickenpox
"I feel feeling cold more than usual, I feel sluggish, and my energy is very low today. It feels moderate and annoying. I am finding it hard to focus. It is knocking me about. At the same time, i do not have diarrhea.",Hypothyroidism
"For after meals lately, I have been dealing with my chest feels hot after eating, discomfort that gets worse when I lie down, and acid coming up into my throat. it is making simple tasks feel harder. It has been a real nuisance. At the same time, i do not have diarrhea.",GERD
"For since earlier today, I have noticed severe pain in my side, I cannot get comfortable, and my lower back hurts badly on one side. Also, i do not have a cough. it is getting in the way of my normal day. I do not think it is from anything obvious.",Kidney Stones
"For all of a sudden today, I have noticed there is blood in my urine, pain that shoots from my back toward my groin, and I cannot get comfortable. On top of that, i do not have a rash. it is making simple tasks feel harder. it does not seem to settle fully.",Kidney Stones
"For just earlier today, I have noticed my words are coming out wrong, I feel unsteady, and my face feels droopy on one side. At the same time, i do not have a rash. it is getting in the way of my normal day. I have not noticed much improvement.",Stroke
"For more and more lately, I have noticed I get hungry again quickly, my mouth feels dry, and needing to pee a lot. On top of that, i do not have vomiting. it is making simple tasks feel harder. I notice it more at certain times of day.",Type 2 Diabetes
"I feel walking makes the pain worse, I have lost my appetite, and sharp pain in my lower right abdomen today. It feels pretty intense today. I am struggling to get through the day. I feel rough overall. One thing I can say is, i do not notice a skin rash.",Appendicitis
"Lately, I have been dealing with lower belly discomfort, cloudy urine, and my urine smells strong for since this morning. It comes and goes but keeps bothering me. I am noticing it more as the day goes on. At the same time, i do not have itchy eyes. I have not noticed much improvement.",UTI
"I started with I feel like I got hit by a truck, and now I also have my head hurts and my throat is sore. It feels severe and hard to ignore. On top of that, i do not have ear discharge. it does not seem to settle fully.",Influenza
"I feel bringing up mucus when I cough, my throat feels irritated from coughing, and I have a mild fever today. It feels pretty intense today. I am sleeping poorly because of it. It is really starting to get on my nerves. At the same time, i do not have a skin rash.",Bronchitis
"Lately I feel like I have heartburn, my chest feels hot after eating, and my throat feels irritated. I am noticing it more as the day goes on. It feels moderate and annoying. At least, i do not have burning when i pee.",GERD
"For since last night, I have been dealing with the joint feels very tender, walking is painful, and it came on all of a sudden. I am finding it hard to focus. I feel off in myself. On top of that, i do not have vomiting.",Gout
"Lately I feel like I have neck tension with a headache, my shoulders feel tense, and it feels like a tight strap around my head. I am struggling to get through the day. It feels severe and hard to ignore. Also, i do not have a rash.",Tension Headache
